text,label,title,author,subject
SCANDAL: Weather forecasters deliberately give wrong predictions to control stock markets!,1,SCANDAL: Weather forecasters deliberately give wro...,Author_40,Health
Chamber of commerce reports economic impact data for local tourism industry.,0,Chamber of commerce reports economic impact data f...,Reporter_17,Politics
Scientists hate him! Local man discovers fountain of youth in his backyard!,1,Scientists hate him! Local man discovers fountain ...,Author_55,News
Transportation department announces schedule for highway maintenance projects.,0,Transportation department announces schedule for h...,Reporter_17,Science
Transportation authority announces improvements to public transit accessibility.,0,Transportation authority announces improvements to...,Reporter_21,Politics
Medical researchers publish findings on effectiveness of new treatment protocol.,0,Medical researchers publish findings on effectiven...,Reporter_34,Government
This mechanic's fuel additive doubles gas mileage - oil companies trying to stop him!,1,This mechanic's fuel additive doubles gas mileage ...,Author_55,Health
This one weird trick will make you rich overnight - billionaires hate this secret!,1,This one weird trick will make you rich overnight ...,Author_10,Entertainment
"ALERT: Your favorite food is actually poisoning you slowly, health experts warn!",1,ALERT: Your favorite food is actually poisoning yo...,Author_29,Health
BREAKING: Earth's magnetic poles will flip tomorrow causing global chaos and blackouts!,1,BREAKING: Earth's magnetic poles will flip tomorro...,Author_99,Health
Local university receives federal funding for renewable energy research project.,0,Local university receives federal funding for rene...,Reporter_49,Science
Health department launches campaign to promote preventive care services.,0,Health department launches campaign to promote pre...,Reporter_9,Science
EXPOSED: Social media giants are reading your thoughts through your phone camera!,1,EXPOSED: Social media giants are reading your thou...,Author_3,Entertainment
Climate scientists report record-breaking temperatures recorded this summer across multiple regions.,0,Climate scientists report record-breaking temperat...,Reporter_46,News
Revolutionary breakthrough: Scientists create machine that can read your dreams!,1,Revolutionary breakthrough: Scientists create mach...,Author_66,Entertainment
State university receives recognition for academic excellence in engineering programs.,0,State university receives recognition for academic...,Reporter_5,Politics
City council approves budget allocation for infrastructure improvements next year.,0,City council approves budget allocation for infras...,Reporter_25,Government
Local grandmother's anti-aging cream makes plastic surgeons go out of business!,1,Local grandmother's anti-aging cream makes plastic...,Author_76,Politics
County commissioners approve funding for bridge repair and maintenance work.,0,County commissioners approve funding for bridge re...,Reporter_4,Science
Banking commission implements new consumer protection regulations this month.,0,Banking commission implements new consumer protect...,Reporter_27,Science
Local man discovers how to turn water into gasoline using household items!,1,Local man discovers how to turn water into gasolin...,Author_20,Politics
Amazing natural remedy eliminates arthritis pain in 24 hours - doctors speechless!,1,Amazing natural remedy eliminates arthritis pain i...,Author_26,News
Public works department completes water system upgrades in residential areas.,0,Public works department completes water system upg...,Reporter_45,Politics
New research proves that taking ice cold showers cures all mental health problems!,1,New research proves that taking ice cold showers c...,Author_74,Health
Incredible breakthrough: Scientists develop pill that eliminates need for sleep forever!,1,Incredible breakthrough: Scientists develop pill t...,Author_84,Science
University study examines effects of exercise on cognitive function in adults.,0,University study examines effects of exercise on c...,Reporter_30,Politics
SCANDAL: Major airlines are spraying mind control chemicals through airplane air systems!,1,SCANDAL: Major airlines are spraying mind control ...,Author_32,Entertainment
Energy company invests in grid modernization to improve service reliability.,0,Energy company invests in grid modernization to im...,Reporter_16,Science
Financial institution expands services to support small business development.,0,Financial institution expands services to support ...,Reporter_47,Government
"URGENT: Your smartphone is slowly killing your brain cells, neuroscientist reveals!",1,URGENT: Your smartphone is slowly killing your bra...,Author_25,Politics
Municipal court implements digital filing system to improve case processing.,0,Municipal court implements digital filing system t...,Reporter_32,News
EXPOSED: Major tech companies are secretly harvesting your dreams while you sleep!,1,EXPOSED: Major tech companies are secretly harvest...,Author_63,Politics
This simple kitchen ingredient cures diabetes overnight - Big Pharma doesn't want you to know!,1,This simple kitchen ingredient cures diabetes over...,Author_33,Health
