text,label,title,author,subject,language,source
REVELADO: La verdad que te han estado ocultando sobre educación,1,REVELADO: La verdad que te han estado ocultando sobre educación,FakeAuthor_spanish_0,Politics,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,FakeAuthor_spanish_1,Politics,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre investigación médica,1,REVELADO: La verdad que te han estado ocultando sobre investigación médica,FakeAuthor_spanish_2,Technology,spanish,synthetic
BOMBAZO: Filtran información secreta sobre educación,1,BOMBAZO: Filtran información secreta sobre educación,FakeAuthor_spanish_3,Technology,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre medio ambiente,1,REVELADO: La verdad que te han estado ocultando sobre medio ambiente,FakeAuthor_spanish_4,Science,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre educación,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre educación,FakeAuthor_spanish_5,Science,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre economía nacional,1,REVELADO: La verdad que te han estado ocultando sobre economía nacional,FakeAuthor_spanish_6,Science,spanish,synthetic
ALERTA: Lo que está pasando con medio ambiente te va a impactar,1,ALERTA: Lo que está pasando con medio ambiente te va a impactar,FakeAuthor_spanish_7,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre salud pública,1,URGENTE: Nueva evidencia revela la verdad oculta sobre salud pública,FakeAuthor_spanish_8,Politics,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,FakeAuthor_spanish_9,Science,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,FakeAuthor_spanish_10,Politics,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre salud pública,1,URGENTE: Nueva evidencia revela la verdad oculta sobre salud pública,FakeAuthor_spanish_11,Economy,spanish,synthetic
BOMBAZO: Filtran información secreta sobre política internacional,1,BOMBAZO: Filtran información secreta sobre política internacional,FakeAuthor_spanish_12,Politics,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,FakeAuthor_spanish_13,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre energías renovables,1,URGENTE: Nueva evidencia revela la verdad oculta sobre energías renovables,FakeAuthor_spanish_14,Health,spanish,synthetic
BOMBAZO: Filtran información secreta sobre educación,1,BOMBAZO: Filtran información secreta sobre educación,FakeAuthor_spanish_15,Health,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre investigación médica,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre investigación médica,FakeAuthor_spanish_16,Science,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,FakeAuthor_spanish_17,Economy,spanish,synthetic
BOMBAZO: Filtran información secreta sobre salud pública,1,BOMBAZO: Filtran información secreta sobre salud pública,FakeAuthor_spanish_18,Science,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,FakeAuthor_spanish_19,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre educación,1,URGENTE: Nueva evidencia revela la verdad oculta sobre educación,FakeAuthor_spanish_20,Technology,spanish,synthetic
ALERTA: Lo que está pasando con tecnología te va a impactar,1,ALERTA: Lo que está pasando con tecnología te va a impactar,FakeAuthor_spanish_21,Science,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre salud pública,1,REVELADO: La verdad que te han estado ocultando sobre salud pública,FakeAuthor_spanish_22,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,FakeAuthor_spanish_23,Politics,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,FakeAuthor_spanish_24,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre política internacional,1,BOMBAZO: Filtran información secreta sobre política internacional,FakeAuthor_spanish_25,Economy,spanish,synthetic
BOMBAZO: Filtran información secreta sobre educación,1,BOMBAZO: Filtran información secreta sobre educación,FakeAuthor_spanish_26,Health,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre política internacional,1,REVELADO: La verdad que te han estado ocultando sobre política internacional,FakeAuthor_spanish_27,Science,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre investigación médica,1,REVELADO: La verdad que te han estado ocultando sobre investigación médica,FakeAuthor_spanish_28,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre economía nacional,FakeAuthor_spanish_29,Technology,spanish,synthetic
ALERTA: Lo que está pasando con tecnología te va a impactar,1,ALERTA: Lo que está pasando con tecnología te va a impactar,FakeAuthor_spanish_30,Politics,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre salud pública,1,URGENTE: Nueva evidencia revela la verdad oculta sobre salud pública,FakeAuthor_spanish_31,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre medio ambiente,1,URGENTE: Nueva evidencia revela la verdad oculta sobre medio ambiente,FakeAuthor_spanish_32,Economy,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre salud pública,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre salud pública,FakeAuthor_spanish_33,Science,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre medio ambiente,1,URGENTE: Nueva evidencia revela la verdad oculta sobre medio ambiente,FakeAuthor_spanish_34,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre educación,1,URGENTE: Nueva evidencia revela la verdad oculta sobre educación,FakeAuthor_spanish_35,Politics,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre tecnología,1,REVELADO: La verdad que te han estado ocultando sobre tecnología,FakeAuthor_spanish_36,Economy,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,FakeAuthor_spanish_37,Health,spanish,synthetic
ALERTA: Lo que está pasando con tecnología te va a impactar,1,ALERTA: Lo que está pasando con tecnología te va a impactar,FakeAuthor_spanish_38,Economy,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,FakeAuthor_spanish_39,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre tecnología,1,BOMBAZO: Filtran información secreta sobre tecnología,FakeAuthor_spanish_40,Technology,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,FakeAuthor_spanish_41,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre economía nacional,1,BOMBAZO: Filtran información secreta sobre economía nacional,FakeAuthor_spanish_42,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre tecnología,1,URGENTE: Nueva evidencia revela la verdad oculta sobre tecnología,FakeAuthor_spanish_43,Technology,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,FakeAuthor_spanish_44,Science,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,1,URGENTE: Nueva evidencia revela la verdad oculta sobre política internacional,FakeAuthor_spanish_45,Technology,spanish,synthetic
ALERTA: Lo que está pasando con medio ambiente te va a impactar,1,ALERTA: Lo que está pasando con medio ambiente te va a impactar,FakeAuthor_spanish_46,Health,spanish,synthetic
BOMBAZO: Filtran información secreta sobre salud pública,1,BOMBAZO: Filtran información secreta sobre salud pública,FakeAuthor_spanish_47,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre investigación médica,1,BOMBAZO: Filtran información secreta sobre investigación médica,FakeAuthor_spanish_48,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre economía nacional,1,BOMBAZO: Filtran información secreta sobre economía nacional,FakeAuthor_spanish_49,Health,spanish,synthetic
ALERTA: Lo que está pasando con investigación médica te va a impactar,1,ALERTA: Lo que está pasando con investigación médica te va a impactar,FakeAuthor_spanish_50,Health,spanish,synthetic
ALERTA: Lo que está pasando con economía nacional te va a impactar,1,ALERTA: Lo que está pasando con economía nacional te va a impactar,FakeAuthor_spanish_51,Economy,spanish,synthetic
BOMBAZO: Filtran información secreta sobre educación,1,BOMBAZO: Filtran información secreta sobre educación,FakeAuthor_spanish_52,Science,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre medio ambiente,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre medio ambiente,FakeAuthor_spanish_53,Health,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre economía nacional,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre economía nacional,FakeAuthor_spanish_54,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre investigación médica,1,URGENTE: Nueva evidencia revela la verdad oculta sobre investigación médica,FakeAuthor_spanish_55,Science,spanish,synthetic
ALERTA: Lo que está pasando con tecnología te va a impactar,1,ALERTA: Lo que está pasando con tecnología te va a impactar,FakeAuthor_spanish_56,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre tecnología,1,BOMBAZO: Filtran información secreta sobre tecnología,FakeAuthor_spanish_57,Science,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,FakeAuthor_spanish_58,Economy,spanish,synthetic
BOMBAZO: Filtran información secreta sobre educación,1,BOMBAZO: Filtran información secreta sobre educación,FakeAuthor_spanish_59,Technology,spanish,synthetic
BOMBAZO: Filtran información secreta sobre tecnología,1,BOMBAZO: Filtran información secreta sobre tecnología,FakeAuthor_spanish_60,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre medio ambiente,1,URGENTE: Nueva evidencia revela la verdad oculta sobre medio ambiente,FakeAuthor_spanish_61,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre economía nacional,1,BOMBAZO: Filtran información secreta sobre economía nacional,FakeAuthor_spanish_62,Health,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre tecnología,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre tecnología,FakeAuthor_spanish_63,Politics,spanish,synthetic
ALERTA: Lo que está pasando con investigación médica te va a impactar,1,ALERTA: Lo que está pasando con investigación médica te va a impactar,FakeAuthor_spanish_64,Health,spanish,synthetic
BOMBAZO: Filtran información secreta sobre economía nacional,1,BOMBAZO: Filtran información secreta sobre economía nacional,FakeAuthor_spanish_65,Science,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre educación,1,URGENTE: Nueva evidencia revela la verdad oculta sobre educación,FakeAuthor_spanish_66,Technology,spanish,synthetic
ALERTA: Lo que está pasando con energías renovables te va a impactar,1,ALERTA: Lo que está pasando con energías renovables te va a impactar,FakeAuthor_spanish_67,Health,spanish,synthetic
ALERTA: Lo que está pasando con educación te va a impactar,1,ALERTA: Lo que está pasando con educación te va a impactar,FakeAuthor_spanish_68,Politics,spanish,synthetic
BOMBAZO: Filtran información secreta sobre economía nacional,1,BOMBAZO: Filtran información secreta sobre economía nacional,FakeAuthor_spanish_69,Economy,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre educación,1,REVELADO: La verdad que te han estado ocultando sobre educación,FakeAuthor_spanish_70,Health,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre educación,1,REVELADO: La verdad que te han estado ocultando sobre educación,FakeAuthor_spanish_71,Health,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre política internacional,1,REVELADO: La verdad que te han estado ocultando sobre política internacional,FakeAuthor_spanish_72,Economy,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre política internacional,FakeAuthor_spanish_73,Economy,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre investigación médica,1,REVELADO: La verdad que te han estado ocultando sobre investigación médica,FakeAuthor_spanish_74,Health,spanish,synthetic
BOMBAZO: Filtran información secreta sobre economía nacional,1,BOMBAZO: Filtran información secreta sobre economía nacional,FakeAuthor_spanish_75,Science,spanish,synthetic
BOMBAZO: Filtran información secreta sobre energías renovables,1,BOMBAZO: Filtran información secreta sobre energías renovables,FakeAuthor_spanish_76,Health,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre investigación médica,1,URGENTE: Nueva evidencia revela la verdad oculta sobre investigación médica,FakeAuthor_spanish_77,Technology,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre investigación médica,1,URGENTE: Nueva evidencia revela la verdad oculta sobre investigación médica,FakeAuthor_spanish_78,Politics,spanish,synthetic
BOMBAZO: Filtran información secreta sobre investigación médica,1,BOMBAZO: Filtran información secreta sobre investigación médica,FakeAuthor_spanish_79,Science,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre política internacional,1,REVELADO: La verdad que te han estado ocultando sobre política internacional,FakeAuthor_spanish_80,Economy,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre educación,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre educación,FakeAuthor_spanish_81,Health,spanish,synthetic
URGENTE: Nueva evidencia revela la verdad oculta sobre energías renovables,1,URGENTE: Nueva evidencia revela la verdad oculta sobre energías renovables,FakeAuthor_spanish_82,Economy,spanish,synthetic
ALERTA: Lo que está pasando con educación te va a impactar,1,ALERTA: Lo que está pasando con educación te va a impactar,FakeAuthor_spanish_83,Economy,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre medio ambiente,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre medio ambiente,FakeAuthor_spanish_84,Health,spanish,synthetic
ALERTA: Lo que está pasando con salud pública te va a impactar,1,ALERTA: Lo que está pasando con salud pública te va a impactar,FakeAuthor_spanish_85,Health,spanish,synthetic
ALERTA: Lo que está pasando con salud pública te va a impactar,1,ALERTA: Lo que está pasando con salud pública te va a impactar,FakeAuthor_spanish_86,Science,spanish,synthetic
REVELADO: La verdad que te han estado ocultando sobre educación,1,REVELADO: La verdad que te han estado ocultando sobre educación,FakeAuthor_spanish_87,Health,spanish,synthetic
EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,1,EXCLUSIVO: Los médicos no quieren que sepas esto sobre energías renovables,FakeAuthor_spanish_88,Science,spanish,synthetic
